id,visible_state_label,collection_status,prepared_image,artist_measured_size_cm,reverse_observation,manual_corners_xy,brightness_mean,contrast_std,contrast_p95_p05,saturation_mean,edge_density,horizontal_structure,vertical_structure,colourfulness,entropy,dark_fraction,light_fraction
QYH-A,cleaner and whiter captured object,collected as a later reprint (artist-confirmed mapping; not authenticated),QYH-A-run2-rectified.jpg,16 x 10,blank (artist observation recorded in V7),"[[180, 253], [1450, 247], [1470, 1028], [263, 1088]]",0.5911133289337158,0.13873255252838135,0.4490712285041809,0.2216501533985138,0.03134014084935188,0.034312378615140915,0.02836790308356285,0.1176725709914618,2.8093392153163617,0.06409722222222222,0.0
QYH-B,worn and stained captured object,collected as an older item (artist-confirmed mapping; not authenticated),QYH-B-run2-rectified.jpg,16 x 10,blank (artist observation recorded in V7),"[[187, 226], [1433, 211], [1464, 1013], [283, 1107]]",0.5838750600814819,0.14080879092216492,0.4533376693725586,0.11166471242904663,0.03728162497282028,0.04144800454378128,0.033115241676568985,0.08579909550948696,3.293936996890876,0.06568055555555556,2.777777777777778e-05
